cve,leadtimedays,pred_date,kev_date
CVE-2025-0890,339,02/15/2025,01/20/2026
CVE-2025-10204,29,12/02/2025,12/31/2025
CVE-2025-10211,60,12/02/2025,01/31/2026
CVE-2025-1023,269,05/08/2025,02/01/2026
CVE-2025-11001,49,12/02/2025,01/20/2026
CVE-2025-11700,13,12/02/2025,12/15/2025
CVE-2025-11953,19,12/02/2025,12/21/2025
CVE-2025-12055,13,12/02/2025,12/15/2025
CVE-2025-13315,13,12/02/2025,12/15/2025
CVE-2025-14155,23,01/31/2026,02/23/2026
CVE-2025-14528,20,01/31/2026,02/20/2026
CVE-2025-14586,4,01/31/2026,02/04/2026
CVE-2025-1743,62,12/02/2025,02/02/2026
CVE-2025-20282,143,08/30/2025,01/20/2026
CVE-2025-2081,52,12/02/2025,01/23/2026
CVE-2025-21756,59,12/02/2025,01/30/2026
CVE-2025-2264,84,05/08/2025,07/31/2025
CVE-2025-22905,266,01/17/2025,10/10/2025
CVE-2025-24016,115,02/15/2025,06/10/2025
CVE-2025-24472,31,02/15/2025,03/18/2025
CVE-2025-24477,54,08/30/2025,10/23/2025
CVE-2025-24912,164,05/08/2025,10/19/2025
CVE-2025-2492,195,05/08/2025,11/19/2025
CVE-2025-25181,23,02/15/2025,03/10/2025
CVE-2025-25231,13,08/30/2025,09/12/2025
CVE-2025-2611,42,08/30/2025,10/11/2025
CVE-2025-26399,49,12/02/2025,01/20/2026
CVE-2025-26793,113,02/15/2025,06/08/2025
CVE-2025-2746,165,05/08/2025,10/20/2025
CVE-2025-2747,165,05/08/2025,10/20/2025
CVE-2025-28036,74,05/08/2025,07/21/2025
CVE-2025-28137,74,05/08/2025,07/21/2025
CVE-2025-2857,257,05/08/2025,01/20/2026
CVE-2025-29085,32,05/08/2025,06/09/2025
CVE-2025-31125,51,12/02/2025,01/22/2026
CVE-2025-32433,32,05/08/2025,06/09/2025
CVE-2025-33073,51,08/30/2025,10/20/2025
CVE-2025-34026,51,12/02/2025,01/22/2026
CVE-2025-34152,16,08/30/2025,09/15/2025
CVE-2025-36604,40,08/30/2025,10/09/2025
CVE-2025-4008,33,08/30/2025,10/02/2025
CVE-2025-40536,12,01/31/2026,02/12/2026
CVE-2025-40551,3,01/31/2026,02/03/2026
CVE-2025-42957,5,08/30/2025,09/04/2025
CVE-2025-4396,62,12/02/2025,02/02/2026
CVE-2025-44846,264,05/08/2025,01/27/2026
CVE-2025-49544,115,08/30/2025,12/23/2025
CVE-2025-49596,41,08/30/2025,10/10/2025
CVE-2025-49619,119,08/30/2025,12/27/2025
CVE-2025-5086,12,08/30/2025,09/11/2025
CVE-2025-51683,50,12/02/2025,01/21/2026
CVE-2025-52665,45,12/02/2025,01/16/2026
CVE-2025-52970,5,08/30/2025,09/04/2025
CVE-2025-53118,72,08/30/2025,11/10/2025
CVE-2025-54068,77,12/02/2025,02/17/2026
CVE-2025-54313,145,08/30/2025,01/22/2026
CVE-2025-55303,166,08/30/2025,02/12/2026
CVE-2025-55523,13,12/02/2025,12/15/2025
CVE-2025-5571,52,12/02/2025,01/23/2026
CVE-2025-55747,13,12/02/2025,12/15/2025
CVE-2025-55749,43,12/02/2025,01/14/2026
CVE-2025-56520,71,12/02/2025,02/11/2026
CVE-2025-58360,3,12/02/2025,12/05/2025
CVE-2025-58443,6,12/02/2025,12/08/2025
CVE-2025-6019,40,08/30/2025,10/09/2025
CVE-2025-61155,58,12/02/2025,01/29/2026
CVE-2025-6204,59,08/30/2025,10/28/2025
CVE-2025-6205,59,08/30/2025,10/28/2025
CVE-2025-64328,63,12/02/2025,02/03/2026
CVE-2025-64764,13,12/02/2025,12/15/2025
CVE-2025-6485,51,12/02/2025,01/22/2026
CVE-2025-68461,20,01/31/2026,02/20/2026
CVE-2025-68947,5,01/31/2026,02/05/2026
CVE-2025-7407,51,12/02/2025,01/22/2026
CVE-2025-7417,49,12/02/2025,01/20/2026
CVE-2025-7544,51,12/02/2025,01/22/2026
CVE-2025-8829,51,12/02/2025,01/22/2026
CVE-2025-9316,13,12/02/2025,12/15/2025
CVE-2025-9491,61,08/30/2025,10/30/2025
CVE-2025-43520,46,01/31/2026,03/18/2026
CVE-2025-31277,200,08/30/2025,03/18/2026
CVE-2025-52089,98,12/02/2025,03/10/2026
CVE-2024-4841,432,01/03/2025,03/11/2026
CVE-2025-10353,98,12/02/2025,03/10/2026
